4187759
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.57        3567554.43
2                       7.12        3561764.90
4                      14.53        3631578.62
8                      29.00        3624936.85
16                     57.23        3577131.62
32                    107.35        3354763.63
64                    218.19        3409184.13
128                   425.31        3322747.27
256                   835.75        3264633.21
512                  1569.94        3066292.77
1024                 2785.72        2720426.83
2048                 4282.40        2091013.31
4096                 6030.61        1472316.99
8192                 6717.14         819963.76
16384                4908.71         299603.70
32768                2874.49          87722.38
65536                5509.39          84066.64
131072               9503.15          72503.27
262144              11192.74          42696.93
524288              11457.36          21853.17
1048576             10977.81          10469.25
2097152             11054.53           5271.21
4194304             11020.52           2627.50
