4186201
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.62        3617145.50
2                       7.25        3623130.97
4                      14.34        3586151.40
8                      28.04        3504830.92
16                     57.38        3586081.07
32                    108.06        3376859.65
64                    215.47        3366696.95
128                   420.21        3282864.42
256                   828.11        3234803.25
512                  1560.93        3048696.25
1024                 2756.92        2692305.27
2048                 4225.67        2063316.08
4096                 5814.66        1419594.40
8192                 6851.76         836396.42
16384                5314.12         324348.18
32768                2883.29          87990.93
65536                5505.94          84013.94
131072               9478.35          72314.06
262144              11178.37          42642.09
524288              11457.75          21853.92
1048576             10974.60          10466.20
2097152             11057.35           5272.56
4194304             11044.53           2633.22
