4185035
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.56        3559231.45
2                       7.13        3563095.46
4                      14.40        3600412.70
8                      28.66        3583079.58
16                     57.19        3574101.17
32                    107.19        3349722.55
64                    214.51        3351771.57
128                   424.31        3314918.27
256                   827.77        3233459.84
512                  1563.70        3054105.39
1024                 2796.08        2730547.83
2048                 4244.05        2072291.23
4096                 5959.11        1454860.56
8192                 6635.25         809966.64
16384                5270.62         321693.30
32768                2879.60          87878.53
65536                5507.49          84037.63
131072               9504.33          72512.25
262144              11204.71          42742.56
524288              11467.22          21871.99
1048576             10982.37          10473.60
2097152             11053.60           5270.77
4194304             11012.97           2625.70
