4186397
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.38        3380767.97
2                       6.70        3351225.74
4                      13.42        3354668.68
8                      26.66        3333081.62
16                     54.59        3412054.04
32                    107.42        3356977.29
64                    218.27        3410486.71
128                   419.90        3280466.56
256                   832.14        3250562.50
512                  1543.39        3014427.33
1024                 2731.69        2667667.04
2048                 4272.97        2086410.65
4096                 5928.18        1447308.91
8192                 6699.59         817821.04
16384                5301.81         323596.76
32768                2962.24          90400.36
65536                5368.19          81912.04
131072               9616.19          73365.74
262144              11197.91          42716.62
524288              11458.22          21854.83
1048576             11000.86          10491.24
2097152             11030.28           5259.65
4194304             11034.65           2630.87
