4185613
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.57        3574438.52
2                       7.07        3535518.98
4                      14.54        3634205.83
8                      28.19        3523546.10
16                     57.03        3564506.43
32                    107.76        3367612.83
64                    219.45        3428884.93
128                   420.47        3284957.21
256                   847.50        3310540.61
512                  1504.52        2938508.05
1024                 2762.35        2697602.55
2048                 4284.71        2092145.95
4096                 5977.97        1459466.18
8192                 6859.53         837344.52
16384                5268.82         321583.25
32768                2961.22          90369.25
65536                5374.01          82000.95
131072               9623.68          73422.83
262144              11183.12          42660.21
524288              11430.47          21801.89
1048576             10996.42          10487.00
2097152             11024.27           5256.78
4194304             11034.75           2630.89
