4186987
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.60        3595622.78
2                       7.13        3565807.25
4                      14.19        3547142.91
8                      28.57        3570874.61
16                     57.17        3573223.16
32                    108.06        3376904.19
64                    218.08        3407566.82
128                   424.33        3315083.11
256                   759.41        2966429.29
512                  1581.30        3088472.18
1024                 2774.29        2709263.06
2048                 4221.20        2061131.88
4096                 5937.33        1449542.88
8192                 6937.20         846826.43
16384                5281.88         322380.13
32768                2963.12          90427.25
65536                5367.23          81897.40
131072               9655.15          73662.93
262144              11218.63          42795.68
524288              11466.70          21871.00
1048576             10989.16          10480.08
2097152             11016.68           5253.16
4194304             11029.09           2629.54
