4188354
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.05        3047369.45
2                       7.10        3550724.60
4                      14.49        3621412.96
8                      28.34        3541972.09
16                     58.14        3633471.31
32                    107.94        3373049.23
64                    217.40        3396904.99
128                   429.76        3357530.28
256                   844.88        3300302.80
512                  1573.00        3072258.56
1024                 2796.35        2730813.48
2048                 4261.34        2080731.74
4096                 5889.10        1437768.98
8192                 6744.99         823362.82
16384                5281.50         322357.14
32768                2879.92          87888.24
65536                5516.26          84171.42
131072               9512.50          72574.62
262144              11183.63          42662.16
524288              11454.49          21847.70
1048576             10972.77          10464.45
2097152             10970.35           5231.07
4194304             10989.89           2620.19
