4186493
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.56        3556013.89
2                       7.13        3563008.18
4                      14.24        3559575.90
8                      28.38        3547304.13
16                     57.49        3592980.44
32                    107.97        3373932.99
64                    217.01        3390809.32
128                   419.74        3279207.62
256                   834.09        3258168.07
512                  1575.40        3076946.75
1024                 2795.33        2729812.93
2048                 4231.47        2066146.39
4096                 6013.86        1468226.99
8192                 6762.83         825540.57
16384                5171.14         315621.14
32768                2963.04          90424.81
65536                5373.92          81999.46
131072               9652.79          73644.94
262144              11209.50          42760.86
524288              11467.21          21871.97
1048576             11004.94          10495.13
2097152             10998.78           5244.63
4194304             11072.59           2639.91
