4184350
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.58        3584962.20
2                       7.01        3505850.39
4                      14.30        3575482.91
8                      28.20        3524764.78
16                     56.99        3562143.54
32                    107.40        3356354.08
64                    216.22        3378496.08
128                   417.68        3263103.53
256                   823.70        3217588.95
512                  1558.24        3043443.73
1024                 2775.40        2710350.74
2048                 4271.60        2085743.62
4096                 5993.27        1463199.62
8192                 6929.90         845935.23
16384                5198.49         317290.70
32768                2961.38          90374.21
65536                5370.41          81945.98
131072               9646.28          73595.28
262144              11209.63          42761.36
524288              11462.33          21862.65
1048576             10963.98          10456.06
2097152             11016.90           5253.27
4194304             11056.31           2636.03
