4186884
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.56        3555577.28
2                       7.08        3541035.34
4                      14.43        3607306.37
8                      28.64        3580247.33
16                     57.82        3613777.53
32                    108.52        3391116.55
64                    216.50        3382742.52
128                   423.86        3311441.60
256                   839.14        3277909.35
512                  1559.42        3045740.84
1024                 2766.46        2701617.72
2048                 4266.38        2083193.64
4096                 6011.36        1467617.93
8192                 6744.44         823295.56
16384                5253.80         320666.75
32768                2871.51          87631.38
65536                5515.19          84155.07
131072               9506.31          72527.37
262144              11206.47          42749.29
524288              11472.34          21881.76
1048576             10971.92          10463.64
2097152             11047.18           5267.70
4194304             11028.56           2629.41
