4184741
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.55        3549263.50
2                       7.10        3552161.27
4                      14.11        3528435.61
8                      28.63        3579228.17
16                     57.08        3567582.27
32                    107.55        3361025.03
64                    213.91        3342371.66
128                   419.56        3277818.69
256                   837.93        3273158.36
512                  1591.84        3109058.48
1024                 2809.43        2743587.72
2048                 4292.90        2096144.24
4096                 5941.68        1450606.07
8192                 6825.57         833199.57
16384                5173.77         315781.57
32768                2968.21          90582.66
65536                5377.69          82056.97
131072               9660.48          73703.59
262144              11197.48          42714.98
524288              11446.52          21832.51
1048576             11005.10          10495.29
2097152             11044.67           5266.51
4194304             11063.11           2637.65
