4187085
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.60        3598989.36
2                       7.10        3550102.20
4                      14.41        3601715.54
8                      28.51        3563400.98
16                     54.98        3436367.07
32                    107.00        3343614.95
64                    219.23        3425482.38
128                   422.24        3298782.03
256                   839.64        3279834.45
512                  1557.38        3041749.92
1024                 2739.71        2675493.57
2048                 4270.16        2085040.32
4096                 5836.01        1424806.82
8192                 6760.51         825257.31
16384                5336.28         325700.89
32768                2877.56          87816.15
65536                5514.45          84143.89
131072               9483.44          72352.94
262144              11209.06          42759.19
524288              11473.63          21884.20
1048576             10977.35          10468.82
2097152             11061.80           5274.68
4194304             11031.44           2630.10
