4184645
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.52        3518561.79
2                       7.12        3557526.03
4                      14.29        3573674.08
8                      28.66        3583047.48
16                     57.06        3566538.51
32                    107.25        3351574.98
64                    215.92        3373756.92
128                   418.22        3267364.90
256                   841.56        3287351.50
512                  1582.10        3090046.86
1024                 2795.52        2730002.73
2048                 4261.60        2080860.96
4096                 5976.37        1459075.22
8192                 6722.11         820570.58
16384                5277.64         322121.36
32768                2965.96          90513.77
65536                5362.98          81832.64
131072               9638.07          73532.63
262144              11199.53          42722.83
524288              11451.64          21842.27
1048576             10993.57          10484.29
2097152             11028.40           5258.75
4194304             11066.09           2638.36
