4185222
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.52        3520073.22
2                       7.09        3543986.41
4                      14.49        3623231.48
8                      28.32        3540089.30
16                     56.95        3559429.40
32                    107.43        3357310.12
64                    220.11        3439220.11
128                   427.64        3340961.86
256                   837.76        3272485.56
512                  1575.12        3076411.33
1024                 2818.42        2752361.44
2048                 4299.73        2099475.79
4096                 6020.28        1469795.59
8192                 6857.87         837141.78
16384                5220.40         318628.02
32768                2961.45          90376.36
65536                5375.36          82021.45
131072               9635.06          73509.71
262144              11191.30          42691.44
524288              11432.55          21805.85
1048576             10999.58          10490.02
2097152             11006.23           5248.18
4194304             11002.17           2623.12
