4187276
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.54        3543747.00
2                       7.12        3558398.32
4                      14.34        3586058.97
8                      28.38        3547644.31
16                     57.42        3588544.25
32                    103.52        3234870.28
64                    211.68        3307479.87
128                   410.63        3208076.33
256                   808.33        3157549.90
512                  1551.18        3029641.73
1024                 2774.55        2709524.57
2048                 4235.10        2067919.52
4096                 5814.12        1419462.79
8192                 6709.37         819014.65
16384                5285.85         322622.57
32768                2869.94          87583.69
65536                5515.79          84164.22
131072               9486.20          72373.97
262144              11205.63          42746.09
524288              11467.26          21872.07
1048576             10973.51          10465.15
2097152             11060.54           5274.07
4194304             11042.07           2632.63
