4186111
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.58        3580141.18
2                       7.12        3558621.90
4                      14.34        3584357.86
8                      28.49        3561848.15
16                     56.59        3536595.47
32                    108.62        3394460.13
64                    219.81        3434550.61
128                   420.67        3286475.38
256                   837.72        3272324.93
512                  1558.19        3043342.43
1024                 2767.46        2702596.56
2048                 4158.41        2030474.89
4096                 5903.73        1441341.46
8192                 6987.43         852958.37
16384                5150.82         314381.36
32768                2877.94          87827.74
65536                5514.13          84138.90
131072               9504.90          72516.61
262144              11205.29          42744.77
524288              11468.54          21874.51
1048576             10999.49          10489.93
2097152             11057.85           5272.79
4194304             10994.20           2621.22
