4185324
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.58        3578225.60
2                       7.00        3502203.38
4                      14.37        3593506.98
8                      28.18        3522714.08
16                     56.50        3531015.00
32                    105.21        3287721.34
64                    215.19        3362416.48
128                   420.66        3286438.26
256                   845.87        3304163.76
512                  1586.92        3099458.22
1024                 2776.98        2711896.58
2048                 4233.64        2067204.83
4096                 5996.77        1464054.82
8192                 6732.90         821886.95
16384                5193.26         316971.70
32768                2958.15          90275.62
65536                5370.39          81945.60
131072               9647.20          73602.26
262144              11217.41          42791.01
524288              11465.62          21868.94
1048576             10985.31          10476.40
2097152             11014.86           5252.30
4194304             11051.06           2634.78
