4188060
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.56        3561200.06
2                       7.09        3545284.08
4                      14.49        3622193.86
8                      28.47        3558240.05
16                     56.25        3515687.66
32                    107.61        3362934.16
64                    212.51        3320421.74
128                   421.85        3295671.70
256                   828.45        3236129.77
512                  1580.04        3086007.51
1024                 2830.89        2764545.40
2048                 4341.27        2119761.21
4096                 6029.67        1472086.71
8192                 6850.82         836281.66
16384                5265.87         321403.44
32768                2966.83          90540.55
65536                5373.68          81995.89
131072               9654.57          73658.50
262144              11218.12          42793.73
524288              11458.32          21855.00
1048576             10989.98          10480.86
2097152             11023.16           5256.25
4194304             11020.27           2627.44
