4185513
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.55        3549115.88
2                       7.15        3572983.78
4                      14.26        3564867.78
8                      28.48        3559777.85
16                     57.23        3576851.73
32                    107.90        3371975.83
64                    215.35        3364804.77
128                   421.88        3295900.83
256                   841.62        3287574.41
512                  1589.14        3103785.75
1024                 2795.42        2729901.42
2048                 4378.84        2138105.58
4096                 6016.34        1468832.86
8192                 6742.64         823076.49
16384                5297.86         323355.51
32768                2967.48          90560.46
65536                5378.06          82062.67
131072               9644.99          73585.43
262144              11219.58          42799.31
524288              11463.61          21865.11
1048576             10999.64          10490.07
2097152             11041.21           5264.86
4194304             11067.00           2638.58
