4187364
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.60        3597253.72
2                       7.05        3526458.36
4                      14.05        3513068.89
8                      28.45        3556383.40
16                     57.67        3604352.48
32                    107.68        3364955.15
64                    212.00        3312435.66
128                   411.91        3218040.33
256                   841.01        3285181.47
512                  1545.69        3018922.04
1024                 2772.22        2707248.32
2048                 4203.20        2052341.77
4096                 5969.98        1457514.15
8192                 6797.33         829752.11
16384                5219.34         318563.45
32768                2964.68          90474.86
65536                5370.28          81943.96
131072               9657.61          73681.68
262144              11201.65          42730.91
524288              11453.20          21845.25
1048576             11013.46          10503.25
2097152             11040.92           5264.72
4194304             11055.72           2635.89
