4187859
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.61        3611399.84
2                       7.13        3564780.42
4                      14.27        3566256.31
8                      28.69        3586442.80
16                     57.07        3566703.49
32                    107.81        3368997.33
64                    219.33        3427063.52
128                   423.93        3311931.70
256                   836.14        3266159.32
512                  1578.72        3083438.32
1024                 2821.99        2755850.58
2048                 4282.77        2091197.79
4096                 5941.71        1450612.32
8192                 6769.45         826348.96
16384                5118.22         312391.30
32768                2965.05          90486.06
65536                5374.84          82013.60
131072               9662.32          73717.62
262144              11197.88          42716.51
524288              11452.00          21842.96
1048576             10979.94          10471.28
2097152             11010.58           5250.25
4194304             11031.00           2630.00
