4188160
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.56        3559977.84
2                       7.09        3544608.62
4                      14.47        3617194.56
8                      28.46        3556932.88
16                     56.93        3557921.57
32                    106.51        3328577.97
64                    216.14        3377226.73
128                   426.60        3332809.11
256                   837.14        3270069.41
512                  1558.56        3044064.74
1024                 2746.11        2681745.90
2048                 4316.24        2107539.86
4096                 5853.73        1429132.24
8192                 6501.80         793677.37
16384                5340.94         325985.07
32768                2965.40          90496.81
65536                5371.89          81968.51
131072               9651.19          73632.71
262144              11206.13          42748.00
524288              11433.29          21807.26
1048576             11004.12          10494.34
2097152             11030.96           5259.97
4194304             11077.52           2641.09
