4184150
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.57        3568982.86
2                       6.98        3488055.86
4                      14.21        3553013.18
8                      28.25        3530753.97
16                     56.67        3541595.77
32                    107.92        3372516.00
64                    217.24        3394393.52
128                   423.82        3311092.11
256                   832.17        3250658.26
512                  1558.30        3043560.97
1024                 2799.54        2733921.13
2048                 4329.77        2114145.35
4096                 6025.98        1471187.60
8192                 6810.69         831383.05
16384                5289.24         322829.57
32768                2878.19          87835.24
65536                5511.51          84098.93
131072               9504.57          72514.14
262144              11187.07          42675.29
524288              11448.97          21837.17
1048576             10973.95          10465.58
2097152             11061.82           5274.69
4194304             10973.58           2616.31
