3246287

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     172.82            127.84            120.23             62.59
2                     138.80             94.54             88.80             50.17
4                     290.52            168.33            158.41             22.86
8                     363.19            283.71            267.23             70.26
16                    164.36            139.71            131.39             81.24
32                    133.56             99.31             93.28             63.29
64                    166.75            127.36            119.73             67.10
128                   123.44             93.40             87.73             65.76
256                   145.39            106.54            100.11             61.19
512                   215.35            153.48            144.36             57.14
1024                  193.34            112.29            105.52             23.19
2048                  220.31            166.39            156.51             65.54
4096                  223.04            139.88            131.52             36.77
8192                  166.66             85.38             80.13              0.00
16384                 159.32             95.50             89.67             28.82
32768                 613.70            297.85            280.45              0.00
65536                 708.37            309.12            291.08              0.00
131072                916.92            371.69            350.09              0.00
262144               1153.41            608.14            573.06              4.85
