3249702

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     288.77            162.45            152.89             17.38
2                     273.27            231.63            218.16             80.91
4                     113.37             82.93             77.86             60.90
8                     331.41            209.73            197.45             38.37
16                    275.84            225.21            212.00             76.12
32                    141.10            106.29             99.85             65.14
64                    172.00            130.15            122.36             65.79
128                   181.36            122.42            115.06             48.77
256                   176.18            133.24            125.28             65.73
512                   168.28            123.17            115.78             61.04
1024                  171.74            105.47             99.08             33.12
2048                  204.38            152.95            143.84             64.25
4096                  171.36            123.34            115.92             58.57
8192                  247.39            153.63            144.49             35.11
16384                 257.78            158.97            149.51             33.91
32768                 678.16            349.98            329.63              0.44
65536                 681.75            300.10            282.57              0.00
131072                847.62            341.64            321.78              0.00
262144               1172.30            665.74            627.47             19.27
