3247487

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     136.56            111.57            104.86             76.17
2                     182.63            146.95            138.20             74.18
4                     262.41            151.24            142.19             21.82
8                     204.01            142.17            133.67             53.74
16                    161.11            125.07            117.48             69.32
32                    145.84             98.69             92.71             49.13
64                    201.85            127.44            119.75             37.86
128                   288.48            199.07            187.28             52.26
256                   241.64            186.22            175.13             68.36
512                   209.90            136.85            128.63             43.20
1024                  128.87             78.37             73.50             31.29
2048                  256.29            163.28            153.56             39.43
4096                  195.35            105.00             98.60              8.36
8192                  183.36             74.06             69.45              0.00
16384                 148.92            105.56             99.15             56.27
32768                 683.92            342.53            322.49              0.00
65536                 746.84            321.70            302.78              0.00
131072                857.87            361.18            340.06              0.00
262144               1138.55            582.41            548.65              0.00
