1368255

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.71
2                       5.13
4                       5.94
8                       5.22
16                     11.10
32                      7.30
64                      5.39
128                     8.62
256                    12.66
512                     8.01
1024                   12.11
2048                    9.26
4096                   16.45
8192                   33.22
16384                  22.82
32768                  53.32
65536                  61.38
131072                114.03
262144                288.31
