1367112

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.04
2                       4.72
4                       4.72
8                       5.45
16                      5.80
32                      8.20
64                      8.42
128                     7.57
256                    13.78
512                     9.64
1024                   14.33
2048                   11.97
4096                   18.21
8192                   26.67
16384                  33.56
32768                  44.16
65536                  70.40
131072                136.76
262144                321.39
