1367342

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.90
2                       5.20
4                       5.00
8                      11.11
16                      5.85
32                      8.07
64                      5.77
128                    14.90
256                     8.68
512                    16.01
1024                    9.19
2048                   10.61
4096                   15.35
8192                   20.04
16384                  23.25
32768                  36.31
65536                  62.14
131072                110.67
262144                264.53
