1368371

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.19
2                       7.15
4                       9.82
8                      14.77
16                     19.05
32                     18.35
64                     34.65
128                     8.56
256                     8.91
512                    16.54
1024                   19.97
2048                   19.43
4096                   18.08
8192                   20.13
16384                  33.24
32768                  48.56
65536                  79.38
131072                135.47
262144                380.41
