1368699

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.43
2                      13.61
4                       5.17
8                       7.51
16                      8.45
32                     18.93
64                      7.64
128                     8.30
256                    20.65
512                    15.56
1024                   11.02
2048                    9.77
4096                   20.89
8192                   23.51
16384                  25.68
32768                  40.36
65536                  76.65
131072                122.53
262144                312.22
