1367795

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.55
2                       6.35
4                       6.28
8                       7.44
16                      5.12
32                     10.38
64                      7.80
128                     7.63
256                    11.00
512                    10.88
1024                    9.94
2048                   14.34
4096                   24.12
8192                   17.39
16384                  25.04
32768                  35.45
65536                  60.63
131072                108.58
262144                337.82
