1367566

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.20
2                      14.41
4                       6.48
8                       5.58
16                     17.11
32                     10.81
64                     26.74
128                     9.45
256                     7.75
512                    12.53
1024                   12.68
2048                   11.73
4096                   15.63
8192                   18.70
16384                  23.70
32768                  39.08
65536                  60.19
131072                109.67
262144                259.07
