
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      21.75             18.83             17.33             83.16
2                      11.08              8.46              7.65             65.83
4                      11.03              8.87              7.99             72.93
8                      10.65              8.37              7.52             69.65
16                     10.88              8.21              7.38             63.81
32                     10.80              8.40              7.58             68.40
64                     10.65              8.24              7.41             67.37
128                    11.87              9.15              8.26             67.04
256                    19.74             12.59             11.49             37.71
512                    19.83             12.73             11.63             38.97
1024                   20.03             13.03             11.92             41.23
2048                   20.93             13.67             12.49             41.89
4096                   21.29             14.06             12.89             43.95
8192                   23.18             15.53             14.25             46.28
16384                  27.00             18.54             17.09             50.50
32768                  55.17             39.48             36.74             57.31
65536                  77.38             57.30             53.45             62.43
131072                127.19             96.56             90.25             66.06
262144                223.54            171.78            160.90             67.83
