
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.46             18.59             17.07             89.09
2                      10.96              8.36              7.51             65.30
4                      10.93              8.68              7.84             71.30
8                      10.66              8.24              7.41             67.48
16                     10.84              8.19              7.37             63.97
32                     10.73              8.29              7.45             67.31
64                     10.70              8.26              7.41             67.08
128                    11.86              9.00              8.12             64.79
256                    19.75             12.62             11.53             38.19
512                    20.02             12.94             11.80             40.04
1024                   20.22             13.10             11.98             40.59
2048                   20.74             13.65             12.50             43.33
4096                   21.18             14.02             12.83             44.18
8192                   23.07             15.40             14.14             45.80
16384                  27.00             18.72             17.25             52.01
32768                  55.16             39.62             36.85             57.82
65536                  77.51             57.37             53.50             62.35
131072                126.87             96.40             90.16             66.20
262144                223.99            172.90            161.95             68.45
