
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.74             19.05             17.56             90.39
2                      11.03              8.41              7.57             65.31
4                      10.89              8.70              7.84             71.95
8                      10.59              8.19              7.37             67.34
16                     10.97              8.24              7.40             63.16
32                     10.72              8.21              7.39             66.02
64                     10.73              8.24              7.40             66.37
128                    11.85              9.03              8.16             65.51
256                    19.63             12.53             11.46             38.09
512                    19.74             12.81             11.71             40.81
1024                   20.06             12.98             11.89             40.44
2048                   20.74             13.57             12.42             42.29
4096                   21.26             14.03             12.85             43.69
8192                   23.10             15.40             14.14             45.52
16384                  27.02             18.39             16.94             49.06
32768                  55.21             39.68             36.92             57.94
65536                  77.49             57.61             53.77             63.02
131072                126.92             96.31             90.06             66.01
262144                224.06            172.32            161.40             67.95
