
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.99             19.32             17.80             90.60
2                      11.01              8.35              7.53             64.68
4                      10.95              8.76              7.90             72.30
8                      10.64              8.21              7.37             66.94
16                     10.95              8.33              7.47             64.95
32                     10.85              8.26              7.40             64.94
64                     10.69              8.28              7.41             67.41
128                    11.90              9.10              8.20             65.88
256                    19.66             12.65             11.56             39.39
512                    19.79             12.71             11.63             39.15
1024                   20.10             12.99             11.87             40.10
2048                   20.76             13.66             12.53             43.31
4096                   21.24             14.02             12.85             43.79
8192                   23.16             15.42             14.16             45.31
16384                  26.96             18.38             16.93             49.33
32768                  55.11             39.52             36.79             57.62
65536                  77.46             57.40             53.56             62.55
131072                127.16             96.59             90.33             66.16
262144                224.95            173.18            162.21             68.08
