
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.42             17.94             16.51             84.99
2                      11.00              8.39              7.53             65.42
4                      10.96              8.75              7.92             72.13
8                      10.76              8.43              7.57             69.16
16                     10.76              8.09              7.30             63.39
32                     10.74              8.17              7.36             65.07
64                     10.54              8.25              7.42             69.10
128                    11.78              9.14              8.23             67.85
256                    19.74             12.58             11.50             37.74
512                    19.84             12.75             11.63             39.02
1024                   19.96             12.99             11.91             41.49
2048                   20.82             13.67             12.50             42.80
4096                   21.22             14.01             12.81             43.69
8192                   23.03             15.37             14.11             45.72
16384                  26.82             18.22             16.81             48.86
32768                  55.85             39.67             36.90             56.15
65536                  77.93             57.43             53.57             61.73
131072                127.37             96.90             90.64             66.38
262144                224.35            172.47            161.56             67.89
