
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      23.51             21.80             20.15             91.52
2                      10.98              8.40              7.53             65.67
4                      11.01              8.79              7.93             71.97
8                      10.73              8.32              7.49             67.84
16                     10.74              8.28              7.45             66.96
32                     10.71              8.18              7.35             65.59
64                     10.63              8.21              7.39             67.22
128                    11.83              9.06              8.17             65.96
256                    19.62             12.58             11.51             38.84
512                    19.94             12.91             11.78             40.37
1024                   20.12             13.05             11.92             40.69
2048                   20.79             13.57             12.42             41.85
4096                   22.32             15.09             13.86             47.79
8192                   23.10             15.42             14.17             45.85
16384                  27.07             18.43             16.96             49.05
32768                  55.55             39.67             36.92             57.00
65536                  77.36             58.36             54.48             65.13
131072                127.16             96.77             90.49             66.42
262144                224.48            172.90            161.90             68.14
