
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      25.56             23.14             21.37             88.68
2                      10.99              8.41              7.60             66.06
4                      10.90              8.68              7.84             71.77
8                      10.61              8.21              7.39             67.52
16                     10.80              8.28              7.45             66.13
32                     10.78              8.22              7.38             65.31
64                     10.74              8.16              7.36             64.99
128                    11.90              9.13              8.25             66.44
256                    19.60             12.53             11.45             38.33
512                    19.74             12.75             11.64             39.95
1024                   19.96             12.97             11.88             41.13
2048                   20.74             13.57             12.42             42.25
4096                   21.15             13.95             12.76             43.59
8192                   23.02             15.44             14.18             46.49
16384                  26.88             18.25             16.83             48.74
32768                  54.97             39.37             36.65             57.44
65536                  77.54             57.33             53.49             62.21
131072                129.62             96.45             90.15             63.21
262144                224.18            172.53            161.59             68.04
