
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.24             20.61             18.97             91.43
2                      11.10              8.36              7.50             63.43
4                      10.95              8.77              7.91             72.42
8                      10.70              8.19              7.36             65.82
16                     11.06              8.20              7.37             61.32
32                     10.82              8.24              7.40             65.20
64                     10.73              8.24              7.40             66.33
128                    11.88              9.07              8.18             65.78
256                    19.64             12.60             11.52             38.89
512                    19.83             12.81             11.70             39.98
1024                   20.02             13.10             12.00             42.29
2048                   20.74             13.69             12.54             43.73
4096                   21.13             13.91             12.74             43.30
8192                   23.16             15.49             14.21             46.04
16384                  26.95             18.35             16.89             49.07
32768                  55.22             39.64             36.89             57.76
65536                  77.64             57.45             53.60             62.33
131072                127.15             97.14             90.86             66.97
262144                224.54            172.57            161.65             67.85
