4108156

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      33.16             17.52             15.01              0.00
2                      13.06             10.82              9.21             75.72
4                      13.71             11.47              9.77             77.14
8                      16.29              9.71              8.24             20.14
16                     29.53             18.87             16.19             34.19
32                     20.97             11.92             10.16             10.94
64                     14.86             10.94              9.34             58.01
128                    28.69             16.01             13.72              7.50
256                    41.52             17.76             15.27              0.00
512                    22.16             14.18             12.15             34.28
1024                   51.37             24.00             20.69              0.00
2048                   41.63             16.48             14.15              0.00
4096                   59.32             39.14             33.84             40.35
8192                   53.74             24.65             21.24              0.00
16384                  43.23             28.66             24.74             41.12
32768                  70.88             36.06             31.16              0.00
65536                 122.40             61.46             53.24              0.00
131072                141.57             86.44             74.89             26.39
262144                386.97            200.76            174.27              0.00
