4109429

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      15.03             12.16             10.42             72.49
2                      49.05             21.00             17.99              0.00
4                      13.86             11.40              9.76             74.86
8                      32.71             13.49             11.57              0.00
16                     23.54             20.18             17.41             80.70
32                     19.03             10.87              9.29             12.17
64                     32.66             21.44             18.49             39.34
128                    27.26             17.31             14.89             33.21
256                    24.29             15.37             13.19             32.38
512                    21.93             14.11             12.11             35.42
1024                   22.37             14.44             12.37             35.90
2048                   24.59             15.30             13.14             29.35
4096                   38.63             22.35             19.27             15.50
8192                   40.18             26.04             22.49             37.11
16384                 108.49             29.09             25.14              0.00
32768                  59.43             37.30             32.27             31.42
65536                  84.73             54.01             46.82             34.38
131072                177.94             88.51             76.80              0.00
262144                511.73            286.44            248.95              9.51
