4108952

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      48.07             19.70             16.93              0.00
2                      11.66              9.43              8.00             72.11
4                      34.83             25.33             21.82             56.47
8                      13.15             10.20              8.69             66.08
16                     23.36             11.17              9.52              0.00
32                     14.73             12.30             10.49             76.83
64                     13.94             11.40              9.74             74.00
128                    37.71             26.12             22.52             48.53
256                    26.32             15.04             12.89             12.46
512                    35.08             17.56             15.09              0.00
1024                   24.93             14.84             12.73             20.71
2048                   36.95             15.70             13.47              0.00
4096                   91.84             36.84             31.84              0.00
8192                   38.35             22.60             19.47             19.09
16384                  41.17             27.26             23.51             40.84
32768                  69.94             43.39             37.44             29.10
65536                 128.93             70.11             60.77              3.22
131072                159.75             96.51             83.69             24.43
262144                740.27            375.44            325.31              0.00
