4109198

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      47.44             21.35             18.40              0.00
2                      19.04             13.05             11.18             46.49
4                      41.87             21.87             18.85              0.00
8                      21.24             15.14             13.00             53.10
16                     16.15             13.11             11.24             72.92
32                     26.24             15.68             13.48             21.70
64                     54.29             34.97             30.24             36.08
128                    37.31             19.18             16.50              0.00
256                    27.31             17.40             14.97             33.80
512                    23.65             14.20             12.17             22.31
1024                   35.90             21.99             18.96             26.64
2048                   27.78             18.20             15.66             38.80
4096                   39.36             18.85             16.05              0.00
8192                   75.89             40.70             35.19              0.00
16384                  40.61             27.09             23.38             42.18
32768                  86.39             36.13             31.22              0.00
65536                 132.45             75.87             65.77             13.97
131072                145.04             86.67             75.14             22.32
262144                384.29            203.71            176.63              0.00
