4108027

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.66             10.47              8.91             64.21
2                      68.09             49.07             42.29             55.03
4                      15.14             10.58              8.98             49.13
8                      14.88             10.11              8.59             44.47
16                     15.85             10.84              9.22             45.65
32                     21.73             10.92              9.28              0.00
64                     25.19             11.16              9.50              0.00
128                    29.51             14.62             12.50              0.00
256                    37.26             13.99             11.97              0.00
512                    30.49             18.34             15.75             22.85
1024                   23.20             14.68             12.47             31.63
2048                   28.99             16.08             13.80              6.46
4096                   45.24             24.35             20.97              0.42
8192                   61.28             40.58             35.10             41.02
16384                  46.10             27.16             23.43             19.15
32768                  56.09             36.29             31.37             36.88
65536                  85.85             53.71             46.50             30.88
131072                181.94             96.77             83.88              0.00
262144                532.10            243.37            211.19              0.00
