1395461

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      37.25
2                      34.72
4                      15.54
8                      23.30
16                     48.36
32                     24.11
64                     25.54
128                    32.27
256                    34.28
512                    32.01
1024                   43.10
2048                   28.09
4096                   59.74
8192                  180.48
16384                  70.79
32768                 125.05
65536                 228.63
131072                381.12
262144               4927.06
