1410493

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.98
2                      18.70
4                      28.49
8                      33.75
16                     26.29
32                     19.71
64                     26.22
128                    24.34
256                    20.95
512                    22.62
1024                   21.76
2048                   31.78
4096                   40.96
8192                  180.01
16384                  75.01
32768                 122.70
65536                 204.97
131072                386.12
262144               3589.25
