1398781

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.25
2                      17.54
4                      20.68
8                      21.45
16                     18.75
32                     19.10
64                     19.16
128                    21.24
256                    25.63
512                    24.86
1024                   26.09
2048                   25.35
4096                   40.67
8192                  161.79
16384                  68.75
32768                 121.11
65536                 204.33
131072                373.81
262144               4048.35
