
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.61              5.85              5.04              0.00
2                       7.71              5.70              5.06             60.32
4                       7.76              5.69              5.03             59.00
8                       7.58              5.65              5.02             61.48
16                      7.35              5.47              4.84             61.21
32                      7.41              5.46              4.84             59.77
64                      7.71              5.62              4.98             58.01
128                     7.84              5.94              5.25             63.72
256                    12.94              8.35              7.55             39.24
512                    13.16              8.33              7.53             35.86
1024                   13.41              8.64              7.79             38.72
2048                   13.86              9.03              8.19             41.07
4096                   14.25              9.33              8.39             41.36
8192                   15.29             10.16              9.24             44.47
16384                  17.66             11.69             10.66             43.94
32768                  30.15             20.91             19.32             52.18
65536                  43.16             31.11             28.92             58.35
131072                 69.43             51.54             48.06             62.79
262144                121.97             92.56             86.48             65.99
