
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      15.33              5.86              4.97              0.00
2                       9.29              7.22              6.34             67.32
4                       7.69              5.61              4.95             57.92
8                       7.58              5.64              5.02             61.48
16                      7.33              5.44              4.82             60.92
32                      7.51              5.61              4.97             61.87
64                      7.35              5.47              4.83             61.23
128                     7.75              5.91              5.21             64.67
256                    12.90              8.37              7.57             40.22
512                    13.21              8.41              7.59             36.73
1024                   13.40              8.69              7.84             39.91
2048                   13.97              9.07              8.20             40.28
4096                   14.27              9.40              8.43             42.19
8192                   15.34             10.18              9.26             44.28
16384                  17.71             11.77             10.72             44.65
32768                  30.23             20.96             19.34             52.05
65536                  43.06             31.00             28.80             58.13
131072                 69.55             51.65             48.01             62.71
262144                122.05             92.48             86.47             65.79
