
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.82              5.98              4.89              0.00
2                       7.85              5.87              5.25             62.12
4                       7.62              5.59              4.94             58.89
8                       7.52              5.64              5.03             62.71
16                      7.30              5.45              4.81             61.47
32                      7.33              5.44              4.81             60.59
64                      7.36              5.47              4.83             60.88
128                     7.72              5.87              5.21             64.53
256                    12.90              8.35              7.56             39.79
512                    13.12              8.35              7.55             36.73
1024                   13.62              8.67              7.80             36.61
2048                   13.86              9.01              8.17             40.57
4096                   14.25              9.35              8.42             41.73
8192                   15.35             10.19              9.25             44.21
16384                  17.65             11.79             10.74             45.42
32768                  30.10             20.95             19.37             52.73
65536                  43.41             31.19             28.98             57.83
131072                 69.83             51.80             48.23             62.62
262144                122.02             92.55             86.56             65.95
