
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      15.10              5.89              5.03              0.00
2                       8.79              6.20              5.53             53.23
4                       7.66              5.62              4.96             58.84
8                       7.56              5.67              5.03             62.32
16                      7.34              5.44              4.82             60.69
32                      7.40              5.42              4.79             58.57
64                      7.32              5.48              4.83             61.86
128                     7.80              5.93              5.24             64.35
256                    12.86              8.33              7.53             39.84
512                    13.16              8.37              7.55             36.66
1024                   13.41              8.61              7.78             38.35
2048                   13.89              9.02              8.14             40.11
4096                   14.22              9.26              8.37             40.82
8192                   15.29             10.15              9.24             44.37
16384                  17.72             11.83             10.80             45.43
32768                  30.11             20.87             19.27             52.08
65536                  43.24             31.11             28.91             58.05
131072                 70.04             51.75             48.15             62.00
262144                122.22             92.70             86.61             65.92
