
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.35              6.13              5.11              0.00
2                       8.47              5.79              5.15             47.89
4                       7.69              5.60              4.95             57.77
8                       7.57              5.64              5.02             61.69
16                      7.32              5.48              4.85             62.04
32                      7.39              5.46              4.83             59.90
64                      7.38              5.48              4.83             60.72
128                     7.71              5.87              5.21             64.66
256                    12.85              8.31              7.51             39.49
512                    13.14              8.35              7.53             36.29
1024                   13.38              8.65              7.81             39.40
2048                   13.89              8.99              8.15             39.78
4096                   14.24              9.43              8.50             43.37
8192                   15.23             10.13              9.22             44.71
16384                  17.65             11.65             10.64             43.63
32768                  30.16             20.92             19.34             52.21
65536                  43.42             31.22             29.00             57.95
131072                 69.52             51.62             48.17             62.85
262144                122.03             92.61             86.60             66.02
