
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.42              6.30              5.10              0.00
2                       7.76              5.71              5.08             59.69
4                       7.63              5.60              4.95             58.91
8                       7.51              5.65              5.04             63.01
16                      7.31              5.49              4.85             62.37
32                      7.34              5.46              4.83             61.09
64                      7.33              5.48              4.84             61.79
128                     7.71              5.92              5.23             65.98
256                    12.85              8.35              7.57             40.66
512                    13.23              8.43              7.58             36.67
1024                   13.41              8.65              7.80             39.04
2048                   13.91              9.04              8.21             40.72
4096                   14.24              9.33              8.40             41.61
8192                   15.34             10.20              9.26             44.46
16384                  17.61             11.79             10.75             45.79
32768                  30.17             20.92             19.35             52.19
65536                  43.20             31.13             28.92             58.25
131072                 69.57             51.72             48.24             62.98
262144                122.22             92.73             86.58             65.94
