
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      15.32              6.46              5.05              0.00
2                       7.85              5.85              5.14             61.12
4                       7.65              5.59              4.94             58.46
8                       7.52              5.63              5.02             62.46
16                      7.34              5.44              4.82             60.63
32                      7.34              5.48              4.86             61.73
64                      7.37              5.52              4.86             61.96
128                     7.73              5.89              5.22             64.74
256                    12.90              8.37              7.56             40.11
512                    13.12              8.34              7.54             36.67
1024                   13.42              8.64              7.79             38.69
2048                   14.09              9.20              8.30             41.10
4096                   14.25              9.30              8.38             40.94
8192                   15.34             10.18              9.25             44.18
16384                  17.69             11.69             10.68             43.76
32768                  30.12             20.95             19.34             52.56
65536                  43.38             31.13             28.92             57.68
131072                 69.54             51.59             48.12             62.70
262144                122.09             92.58             86.58             65.92
