4160249

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.70              1.63              1.16              7.25
2                       2.68              1.60              1.16              7.22
4                       2.67              1.60              1.15              7.05
8                       2.63              1.55              1.10              1.57
16                      2.70              1.60              1.16              5.57
32                      2.73              1.58              1.29             11.46
64                      2.83              1.69              1.30             11.85
128                     3.04              1.89              1.32             12.78
256                     3.07              1.89              1.44             18.53
512                     3.12              1.89              1.47             16.48
1024                    3.48              2.20              1.66             22.62
2048                    4.16              2.67              2.05             27.07
4096                    5.02              3.27              2.71             35.56
8192                    7.90              5.26              4.51             41.54
16384                  14.08              8.91              7.98             35.20
32768                  49.16             20.75             19.21              0.00
65536                  70.15             29.34             27.42              0.00
131072                112.96             49.11             45.98              0.00
262144                188.50             86.35             81.11              0.00
