4162703

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.75              1.65              1.24             11.06
2                       2.75              1.64              1.25             11.35
4                       2.72              1.60              1.24              9.83
8                       2.69              1.58              1.24             10.56
16                      2.68              1.58              1.23             10.74
32                      3.11              1.89              1.39             12.76
64                      3.11              1.89              1.45             16.00
128                     3.12              1.89              1.43             14.12
256                     3.14              1.89              1.48             15.67
512                     3.34              2.05              1.59             19.11
1024                    3.53              2.20              1.75             24.59
2048                    4.17              2.66              2.15             29.98
4096                    5.11              3.28              2.81             34.73
8192                    7.94              5.26              4.59             41.77
16384                  14.01              8.87              7.90             35.01
32768                  49.25             21.06             19.52              0.00
65536                  71.39             30.48             28.37              0.00
131072                113.14             48.95             45.75              0.00
262144                188.81             86.48             81.17              0.00
