4163027

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.74              1.65              1.19              8.15
2                       2.70              1.59              1.23             10.02
4                       2.69              1.58              1.20              7.47
8                       2.69              1.58              1.19              7.44
16                      2.75              1.59              1.20              3.33
32                      3.06              1.89              1.31             10.66
64                      3.06              1.89              1.32             11.10
128                     3.08              1.89              1.35             11.98
256                     3.23              1.93              1.41              7.60
512                     3.16              1.89              1.49             14.91
1024                    3.52              2.20              1.68             21.64
2048                    4.29              2.67              2.07             21.65
4096                    5.06              3.27              2.73             34.49
8192                    7.92              5.26              4.52             41.20
16384                  14.06              8.92              7.90             34.91
32768                  48.93             20.80             19.22              0.00
65536                  70.22             29.52             27.51              0.00
131072                113.16             48.65             45.47              0.00
262144                189.27             86.90             81.50              0.00
