4165055

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.63              1.56              1.17              8.89
2                       2.81              1.74              1.20             10.94
4                       2.66              1.59              1.15              7.07
8                       2.66              1.60              1.15              6.95
16                      2.73              1.63              1.15              3.79
32                      2.72              1.59              1.29             11.80
64                      2.72              1.58              1.29             11.59
128                     3.03              1.88              1.32             12.86
256                     3.09              1.87              1.38             12.04
512                     3.14              1.91              1.46             15.73
1024                    3.47              2.20              1.64             22.21
2048                    3.95              2.48              2.04             27.99
4096                    4.98              3.24              2.69             35.09
8192                    7.86              5.24              4.49             41.45
16384                  13.47              8.47              7.72             35.16
32768                  48.89             20.83             19.23              0.00
65536                  70.69             30.05             28.03              0.00
131072                112.80             48.84             45.73              0.00
262144                188.15             86.56             81.24              0.00
