4158121

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.73              1.62              1.27             12.59
2                       2.79              1.65              1.23              7.39
4                       2.69              1.58              1.24             10.09
8                       2.70              1.58              1.23              8.84
16                      2.71              1.59              1.25             10.81
32                      3.11              1.89              1.44             15.28
64                      3.12              1.89              1.42             13.54
128                     3.14              1.89              1.45             14.17
256                     3.19              1.90              1.51             14.48
512                     3.30              2.05              1.61             22.11
1024                    3.53              2.21              1.77             25.24
2048                    4.07              2.57              2.16             30.69
4096                    5.06              3.28              2.89             38.40
8192                    7.94              5.27              4.65             42.58
16384                  13.90              8.78              7.78             34.16
32768                  49.39             21.17             19.44              0.00
65536                  70.91             30.20             28.10              0.00
131072                113.10             49.07             45.94              0.00
262144                189.29             87.03             81.68              0.00
