4158868

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.72              1.62              1.28             13.92
2                       2.72              1.61              1.27             12.70
4                       2.73              1.61              1.27             11.74
8                       2.88              1.65              1.26              2.74
16                      2.70              1.59              1.27             12.47
32                      3.09              1.90              1.42             15.61
64                      3.10              1.90              1.42             15.25
128                     3.12              1.90              1.51             19.29
256                     3.14              1.90              1.51             17.84
512                     3.30              2.05              1.61             22.39
1024                    3.57              2.21              1.78             23.44
2048                    4.18              2.69              2.17             30.96
4096                    5.09              3.31              2.83             36.89
8192                    7.95              5.27              4.71             42.96
16384                  14.13              8.93              7.93             34.45
32768                  49.23             20.99             19.32              0.00
65536                  70.44             29.70             27.67              0.00
131072                112.66             48.36             45.23              0.00
262144                188.91             86.35             81.05              0.00
