4158549

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       2.80              1.65              1.22              5.86
2                       2.69              1.59              1.22              9.96
4                       2.68              1.58              1.22             10.02
8                       2.68              1.59              1.22              9.91
16                      2.75              1.60              1.23              6.69
32                      3.07              1.88              1.39             14.12
64                      3.09              1.89              1.37             12.73
128                     3.10              1.89              1.40             13.32
256                     3.26              2.06              1.52             20.63
512                     3.29              2.05              1.55             20.18
1024                    3.51              2.21              1.73             24.56
2048                    4.17              2.67              2.12             29.08
4096                    5.04              3.28              2.77             36.35
8192                    7.96              5.27              4.58             41.37
16384                  14.05              8.93              7.91             35.18
32768                  48.92             20.83             19.27              0.00
65536                  70.62             29.98             27.91              0.00
131072                113.08             48.57             45.42              0.00
262144                188.70             86.10             80.83              0.00
