1625051

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.85
2                      10.32
4                       9.65
8                       9.89
16                      9.70
32                     11.06
64                     10.60
128                    10.66
256                    10.90
512                    11.61
1024                   13.26
2048                   17.62
4096                   22.17
8192                   31.00
16384                  49.99
32768                 115.11
65536                 188.58
131072                370.66
262144                727.38
